time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,157.44,157.538,157.101,157.268,1602
2023-09-10T22:00:00.000Z,157.267,157.718,157.226,157.587,6225
2023-09-10T23:00:00.000Z,157.588,157.726,157.579,157.66,5605
2023-09-11T00:00:00.000Z,157.666,157.695,157.315,157.433,9185
2023-09-11T01:00:00.000Z,157.433,157.584,157.334,157.474,8507
2023-09-11T02:00:00.000Z,157.475,157.483,157.19,157.25,8426
2023-09-11T03:00:00.000Z,157.251,157.29,156.929,157.043,7500
2023-09-11T04:00:00.000Z,157.045,157.298,156.879,156.942,9800
2023-09-11T05:00:00.000Z,156.943,156.961,156.78,156.865,8916
2023-09-11T06:00:00.000Z,156.871,156.965,156.591,156.771,8537
2023-09-11T07:00:00.000Z,156.775,156.87,156.576,156.783,9501
2023-09-11T08:00:00.000Z,156.782,157.148,156.695,156.997,7866
2023-09-11T09:00:00.000Z,157.004,157.423,156.927,157.413,7801
2023-09-11T10:00:00.000Z,157.411,157.693,157.377,157.65,7308
2023-09-11T11:00:00.000Z,157.646,157.692,157.239,157.333,6873
2023-09-11T12:00:00.000Z,157.333,157.347,156.893,157.151,10029
2023-09-11T13:00:00.000Z,157.152,157.306,157.092,157.205,10600
2023-09-11T14:00:00.000Z,157.205,157.444,157.132,157.32,10467
2023-09-11T15:00:00.000Z,157.316,157.462,157.286,157.341,7441
2023-09-11T16:00:00.000Z,157.342,157.522,157.324,157.468,5949
2023-09-11T17:00:00.000Z,157.469,157.475,157.357,157.37,5743
2023-09-11T18:00:00.000Z,157.37,157.54,157.368,157.452,4388
2023-09-11T19:00:00.000Z,157.447,157.537,157.413,157.501,4684
2023-09-11T20:00:00.000Z,157.501,157.565,157.496,157.565,1343
2023-09-11T21:00:00.000Z,157.436,157.606,157.435,157.549,1515
2023-09-11T22:00:00.000Z,157.528,157.592,157.449,157.495,2374
2023-09-11T23:00:00.000Z,157.501,157.651,157.499,157.63,2724
2023-09-12T00:00:00.000Z,157.632,157.742,157.496,157.602,7272
2023-09-12T01:00:00.000Z,157.603,157.791,157.369,157.419,8319
2023-09-12T02:00:00.000Z,157.42,157.719,157.384,157.707,6168
2023-09-12T03:00:00.000Z,157.706,157.709,157.537,157.624,4432
2023-09-12T04:00:00.000Z,157.616,157.616,157.507,157.57,3991
2023-09-12T05:00:00.000Z,157.57,157.715,157.563,157.622,4655
2023-09-12T06:00:00.000Z,157.625,157.754,157.595,157.639,6611
2023-09-12T07:00:00.000Z,157.64,157.649,157.265,157.282,9913
2023-09-12T08:00:00.000Z,157.282,157.337,157.175,157.267,8469
2023-09-12T09:00:00.000Z,157.266,157.452,157.251,157.391,7246
2023-09-12T10:00:00.000Z,157.39,157.479,157.374,157.423,6686
2023-09-12T11:00:00.000Z,157.424,157.469,157.353,157.441,7120
2023-09-12T12:00:00.000Z,157.441,157.642,157.396,157.524,9511
2023-09-12T13:00:00.000Z,157.525,157.77,157.52,157.767,10461
2023-09-12T14:00:00.000Z,157.767,157.789,157.59,157.714,9265
2023-09-12T15:00:00.000Z,157.702,157.891,157.683,157.794,6613
2023-09-12T16:00:00.000Z,157.792,157.917,157.785,157.817,5969
2023-09-12T17:00:00.000Z,157.819,157.974,157.804,157.891,4964
2023-09-12T18:00:00.000Z,157.892,157.94,157.853,157.865,5197
2023-09-12T19:00:00.000Z,157.865,157.914,157.827,157.839,5131
2023-09-12T20:00:00.000Z,157.841,158.285,157.831,158.205,3429
2023-09-12T21:00:00.000Z,158.097,158.332,158.073,158.255,1814
2023-09-12T22:00:00.000Z,158.261,158.263,158.111,158.184,2060
2023-09-12T23:00:00.000Z,158.185,158.277,158.169,158.24,2755
2023-09-13T00:00:00.000Z,158.239,158.49,158.239,158.481,6987
2023-09-13T01:00:00.000Z,158.483,158.647,158.449,158.477,8672
2023-09-13T02:00:00.000Z,158.478,158.488,158.341,158.374,6452
2023-09-13T03:00:00.000Z,158.372,158.46,158.315,158.362,5143
2023-09-13T04:00:00.000Z,158.36,158.501,158.343,158.481,4615
2023-09-13T05:00:00.000Z,158.48,158.487,158.241,158.275,5991
2023-09-13T06:00:00.000Z,158.277,158.282,158.067,158.15,8855
2023-09-13T07:00:00.000Z,158.15,158.399,158,158.215,10112
2023-09-13T08:00:00.000Z,158.214,158.286,158.031,158.072,9408
2023-09-13T09:00:00.000Z,158.073,158.181,158.063,158.137,7866
2023-09-13T10:00:00.000Z,158.136,158.293,158.09,158.246,6969
2023-09-13T11:00:00.000Z,158.246,158.306,158.142,158.251,7475
2023-09-13T12:00:00.000Z,158.25,158.603,158.098,158.456,15692
2023-09-13T13:00:00.000Z,158.458,158.501,158.245,158.304,14805
2023-09-13T14:00:00.000Z,158.305,158.458,158.221,158.385,11127
2023-09-13T15:00:00.000Z,158.386,158.43,158.254,158.31,6704
2023-09-13T16:00:00.000Z,158.312,158.323,158.207,158.257,6022
2023-09-13T17:00:00.000Z,158.256,158.301,158.127,158.293,6038
2023-09-13T18:00:00.000Z,158.293,158.304,158.203,158.234,5035
2023-09-13T19:00:00.000Z,158.232,158.27,158.194,158.238,4545
2023-09-13T20:00:00.000Z,158.239,158.263,158.199,158.229,2032
2023-09-13T21:00:00.000Z,158.115,158.158,158.088,158.114,1383
2023-09-13T22:00:00.000Z,158.12,158.182,158.109,158.123,1694
2023-09-13T23:00:00.000Z,158.124,158.175,158.062,158.129,2700
2023-09-14T00:00:00.000Z,158.128,158.178,157.923,157.974,6372
2023-09-14T01:00:00.000Z,157.974,158.062,157.913,157.963,8085
2023-09-14T02:00:00.000Z,157.964,158.021,157.938,157.985,5673
2023-09-14T03:00:00.000Z,157.984,158.061,157.964,158.041,4046
2023-09-14T04:00:00.000Z,158.042,158.148,158.035,158.139,4085
2023-09-14T05:00:00.000Z,158.136,158.195,158.097,158.119,5603
2023-09-14T06:00:00.000Z,158.121,158.138,158.001,158.035,5643
2023-09-14T07:00:00.000Z,158.04,158.163,157.979,158.09,8344
2023-09-14T08:00:00.000Z,158.089,158.264,158.071,158.102,9622
2023-09-14T09:00:00.000Z,158.1,158.135,158.04,158.12,6356
2023-09-14T10:00:00.000Z,158.12,158.206,158.111,158.155,6953
2023-09-14T11:00:00.000Z,158.155,158.185,158.058,158.098,6516
2023-09-14T12:00:00.000Z,158.1,158.415,157.212,157.386,18290
2023-09-14T13:00:00.000Z,157.389,157.41,156.921,157.086,17533
2023-09-14T14:00:00.000Z,157.088,157.189,156.83,156.899,13059
2023-09-14T15:00:00.000Z,156.9,157.021,156.828,156.866,8151
2023-09-14T16:00:00.000Z,156.867,156.888,156.633,156.788,6493
2023-09-14T17:00:00.000Z,156.79,156.844,156.749,156.818,5461
2023-09-14T18:00:00.000Z,156.818,156.904,156.777,156.802,4380
2023-09-14T19:00:00.000Z,156.803,156.952,156.802,156.926,5138
2023-09-14T20:00:00.000Z,156.93,156.99,156.887,156.937,2235
2023-09-14T21:00:00.000Z,156.892,156.97,156.89,156.915,767
2023-09-14T22:00:00.000Z,156.904,156.952,156.87,156.926,2587
2023-09-14T23:00:00.000Z,156.927,156.951,156.826,156.83,2811
2023-09-15T00:00:00.000Z,156.836,156.953,156.796,156.927,6953
2023-09-15T01:00:00.000Z,156.93,156.943,156.715,156.801,6498
2023-09-15T02:00:00.000Z,156.802,156.981,156.8,156.97,6373
2023-09-15T03:00:00.000Z,156.974,157.023,156.94,157.019,4959
2023-09-15T04:00:00.000Z,157.021,157.055,156.909,157.039,4472
2023-09-15T05:00:00.000Z,157.04,157.3,156.953,157.074,7752
2023-09-15T06:00:00.000Z,157.075,157.444,157.027,157.367,8036
2023-09-15T07:00:00.000Z,157.365,157.581,157.365,157.559,10106
2023-09-15T08:00:00.000Z,157.56,157.643,157.523,157.613,7784
2023-09-15T09:00:00.000Z,157.614,157.64,157.523,157.614,6697
2023-09-15T10:00:00.000Z,157.615,157.737,157.615,157.658,6341
2023-09-15T11:00:00.000Z,157.658,157.663,157.459,157.472,6563
2023-09-15T12:00:00.000Z,157.473,157.616,157.417,157.569,9776
2023-09-15T13:00:00.000Z,157.569,157.698,157.551,157.651,11790
2023-09-15T14:00:00.000Z,157.66,157.823,157.525,157.69,13224
2023-09-15T15:00:00.000Z,157.689,157.794,157.675,157.776,8732
2023-09-15T16:00:00.000Z,157.775,157.898,157.76,157.808,6159
2023-09-15T17:00:00.000Z,157.808,157.808,157.676,157.726,5330
2023-09-15T18:00:00.000Z,157.722,157.722,157.573,157.626,4603
2023-09-15T19:00:00.000Z,157.627,157.662,157.581,157.619,4534
2023-09-15T20:00:00.000Z,157.619,157.656,157.581,157.627,2795
2023-09-17T21:00:00.000Z,157.488,157.595,157.431,157.595,428
2023-09-17T22:00:00.000Z,157.595,157.712,157.557,157.632,1811
2023-09-17T23:00:00.000Z,157.633,157.75,157.633,157.737,2911
2023-09-18T00:00:00.000Z,157.742,157.773,157.627,157.632,5401
2023-09-18T01:00:00.000Z,157.633,157.706,157.533,157.544,6103
2023-09-18T02:00:00.000Z,157.544,157.6,157.519,157.57,5583
2023-09-18T03:00:00.000Z,157.57,157.612,157.542,157.55,4230
2023-09-18T04:00:00.000Z,157.549,157.572,157.524,157.551,3190
2023-09-18T05:00:00.000Z,157.552,157.586,157.513,157.527,4529
2023-09-18T06:00:00.000Z,157.53,157.619,157.376,157.396,7351
2023-09-18T07:00:00.000Z,157.396,157.512,157.345,157.497,8810
2023-09-18T08:00:00.000Z,157.495,157.536,157.401,157.434,6475
2023-09-18T09:00:00.000Z,157.433,157.562,157.412,157.533,6430
2023-09-18T10:00:00.000Z,157.533,157.587,157.486,157.515,5852
2023-09-18T11:00:00.000Z,157.516,157.525,157.375,157.404,5570
2023-09-18T12:00:00.000Z,157.404,157.505,157.383,157.431,8042
2023-09-18T13:00:00.000Z,157.432,157.648,157.408,157.532,9909
2023-09-18T14:00:00.000Z,157.533,157.644,157.459,157.638,8867
2023-09-18T15:00:00.000Z,157.638,157.928,157.636,157.871,6418
2023-09-18T16:00:00.000Z,157.87,157.883,157.791,157.84,4661
2023-09-18T17:00:00.000Z,157.844,157.934,157.819,157.819,4364
2023-09-18T18:00:00.000Z,157.818,157.826,157.749,157.765,5079
2023-09-18T19:00:00.000Z,157.764,157.807,157.689,157.736,4315
2023-09-18T20:00:00.000Z,157.736,157.824,157.73,157.818,2013
2023-09-18T21:00:00.000Z,157.696,157.828,157.679,157.811,1198
2023-09-18T22:00:00.000Z,157.818,157.829,157.729,157.828,1841
2023-09-18T23:00:00.000Z,157.83,157.877,157.795,157.828,2628
2023-09-19T00:00:00.000Z,157.827,157.928,157.766,157.807,6194
2023-09-19T01:00:00.000Z,157.81,157.881,157.785,157.803,5114
2023-09-19T02:00:00.000Z,157.805,157.874,157.786,157.848,5177
2023-09-19T03:00:00.000Z,157.854,157.894,157.84,157.843,4390
2023-09-19T04:00:00.000Z,157.843,157.903,157.782,157.795,3972
2023-09-19T05:00:00.000Z,157.793,157.84,157.768,157.828,5069
2023-09-19T06:00:00.000Z,157.829,157.963,157.828,157.869,6901
2023-09-19T07:00:00.000Z,157.87,157.94,157.764,157.898,9193
2023-09-19T08:00:00.000Z,157.894,157.918,157.773,157.853,6677
2023-09-19T09:00:00.000Z,157.848,157.896,157.765,157.856,6071
2023-09-19T10:00:00.000Z,157.857,158.062,157.846,158.007,6577
2023-09-19T11:00:00.000Z,158.006,158.182,157.981,158.155,6584
2023-09-19T12:00:00.000Z,158.153,158.277,158.049,158.113,9857
2023-09-19T13:00:00.000Z,158.116,158.141,157.866,157.922,10198
2023-09-19T14:00:00.000Z,157.924,157.946,157.804,157.88,8876
2023-09-19T15:00:00.000Z,157.88,157.942,157.82,157.898,6288
2023-09-19T16:00:00.000Z,157.9,157.959,157.871,157.945,4399
2023-09-19T17:00:00.000Z,157.945,158.036,157.889,157.975,4948
2023-09-19T18:00:00.000Z,157.973,157.979,157.855,157.864,4149
2023-09-19T19:00:00.000Z,157.863,157.918,157.852,157.903,3893
2023-09-19T20:00:00.000Z,157.901,157.931,157.854,157.928,1928
2023-09-19T21:00:00.000Z,157.851,157.896,157.745,157.807,2085
